osmid,y,x,street_count,highway,geometry
40469999,45.4668811,-122.5790519,4,,POINT (-122.5790519 45.4668811)
40470773,45.4758664,-122.5796078,3,,POINT (-122.5796078 45.4758664)
40478152,45.4676434,-122.6151344,3,,POINT (-122.6151344 45.4676434)
40478156,45.4672219,-122.613845,3,,POINT (-122.613845 45.4672219)
40478165,45.466917,-122.6127678,3,,POINT (-122.6127678 45.466917)
40478181,45.4660577,-122.6114599,3,,POINT (-122.6114599 45.4660577)
40478184,45.4657188,-122.6110128,3,,POINT (-122.6110128 45.4657188)
40478194,45.4655363,-122.6100293,4,,POINT (-122.6100293 45.4655363)
40478211,45.4646662,-122.60848,3,,POINT (-122.60848 45.4646662)
40478218,45.4629051,-122.6060874,3,,POINT (-122.6060874 45.4629051)
40479342,45.4746373,-122.6159982,3,,POINT (-122.6159982 45.4746373)
40479344,45.4732721,-122.6160257,3,,POINT (-122.6160257 45.4732721)
40479346,45.4725877,-122.6160148,3,,POINT (-122.6160148 45.4725877)
40479348,45.4711974,-122.6159968,4,,POINT (-122.6159968 45.4711974)
40479350,45.4704947,-122.6159974,4,,POINT (-122.6159974 45.4704947)
40490758,45.4758238,-122.5990118,3,,POINT (-122.5990118 45.4758238)
40491771,45.4720513,-122.5806659,3,,POINT (-122.5806659 45.4720513)
40491776,45.4716408,-122.5806925,1,turning_circle,POINT (-122.5806925 45.4716408)
40494958,45.4659814,-122.6128706,4,,POINT (-122.6128706 45.4659814)
40494971,45.4652882,-122.612755,3,,POINT (-122.612755 45.4652882)
40495032,45.4762887,-122.6124193,4,,POINT (-122.6124193 45.4762887)
40495038,45.4758293,-122.6124188,1,,POINT (-122.6124188 45.4758293)
